"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"JP","Japan","2024","44","1595244","1.2948204673229793","794749","1.3273410095243163","800495","1.2640723476469853","0.992821941423744"
"JP","Japan","2024","45","1599942","1.2986337188102022","779934","1.3025979056561732","820008","1.2948855866049247","0.9511297450756578"
"JP","Japan","2024","46","1654469","1.342891948662012","806180","1.3464323642537623","848289","1.3395444914872843","0.9503600777565193"
"JP","Japan","2024","47","1696894","1.3773272816431592","827617","1.3822351261586816","869277","1.3726869226485217","0.9520751152969652"
"JP","Japan","2024","48","1759181","1.4278841133555158","853794","1.4259543451904992","905387","1.4297087060119813","0.9430155281664084"
"JP","Japan","2024","49","1835433","1.489775993390364","900452","1.5038796735927817","934981","1.4764409867336161","0.9630698377827999"
"JP","Japan","2024","50","1933987","1.569769860370305","959628","1.6027117974200669","974359","1.53862331255157","0.9848813425031225"
"JP","Japan","2024","51","1943581","1.5775570750932544","960966","1.6049464429128493","982615","1.5516604724366079","0.9779679732143312"
"JP","Japan","2024","52","1899901","1.5421030893627532","936885","1.5647278344586644","963016","1.5207114297298663","0.9728654560256528"
"JP","Japan","2024","53","1847811","1.4998229126983345","911242","1.5219004694575986","936569","1.4789486187463874","0.9729576785052676"
"JP","Japan","2024","54","1790571","1.453362607221826","884464","1.4771774971065266","906107","1.4308456676298626","0.976114299966781"
"JP","Japan","2024","55","1769485","1.4362476176816852","883797","1.476063514637404","885688","1.398601751969423","0.9978649366368292"
"JP","Japan","2024","56","1732349","1.406105236406779","862377","1.440289145089269","869972","1.3737844064324487","0.991269833971668"
"JP","Japan","2024","57","1629182","1.3223671103569024","807898","1.3493016624276042","821284","1.2969005352499474","0.9837011313991263"
"JP","Japan","2024","58","1430766","1.1613177048462993","712205","1.1894810860891498","718561","1.1346892737588183","0.9911545435947678"
"JP","Japan","2024","59","1638109","1.3296129375230237","813239","1.358221872873757","824870","1.3025632357523391","0.985899596300023"
"JP","Japan","2024","60","1559546","1.2658452754134686","782419","1.3067482001625748","777127","1.227171626693307","1.0068096977714067"
"JP","Japan","2024","61","1512476","1.2276397097464653","756831","1.264012692786399","755645","1.1932491135331342","1.001569520078873"
"JP","Japan","2024","62","1463294","1.1877198854287567","731000","1.2208713417220722","732294","1.1563752375065446","0.9982329501538999"
"JP","Japan","2024","63","1449515","1.1765358087487985","725214","1.2112079195836263","724301","1.1437533844347048","1.0012605256654348"
"JP","Japan","2024","64","1458996","1.1842313041405312","726291","1.2130066588928394","732705","1.1570242530967518","0.9912461358937089"
"JP","Japan","2024","65","1472137","1.1948975318530888","733345","1.2247878168196622","738792","1.1666363161079227","0.9926271535154685"
"JP","Japan","2024","66","1424485","1.1562195710465448","706734","1.1803437576205296","717751","1.133410191938702","0.9846506657601313"
"JP","Japan","2024","67","1401765","1.1377783037435","692606","1.1567480389941964","709159","1.1198424499653197","0.9766582670458952"
"JP","Japan","2024","68","1462311","1.186922008414721","719665","1.2019403203015255","742646","1.1727222189903035","0.9690552430094553"
"JP","Japan","2024","69","1489464","1.2089614331981529","729773","1.2188220816177042","759691","1.1996382061802833","0.9606181987150039"
"JP","Japan","2024","70","1504738","1.2213589647468632","733660","1.2253139104894877","771078","1.2176195699897465","0.951473132419807"
"JP","Japan","2024","71","1580967","1.2832321762452696","763186","1.2746264238077996","817781","1.2913689011562837","0.9332400728312348"
"JP","Japan","2024","72","1651584","1.340550264851744","791174","1.3213702639064553","860410","1.3586849245016428","0.9195313861996025"
"JP","Japan","2024","73","1739498","1.4119079045383576","826905","1.3810459874510124","912593","1.4410877968709426","0.9061049120473201"
"JP","Japan","2024","74","1854749","1.505454317299942","873576","1.4589930276555416","981173","1.549383390974129","0.8903384010770782"
"JP","Japan","2024","75","1955915","1.587568280679335","913676","1.5259655868936473","1042239","1.6458135273040384","0.8766472949102845"
"JP","Japan","2024","76","1891043","1.5349132678059587","875716","1.4625671243330867","1015327","1.6033164286090116","0.8624965159007886"
"JP","Japan","2024","77","1622686","1.3170944663251867","747265","1.248036146610047","875421","1.3823889951211084","0.8536064362175456"
"JP","Japan","2024","78","1127542","0.9151982137944332","515305","0.8606307889823426","612237","0.9667916250649252","0.8416756909497466"
"JP","Japan","2024","79","1226150","0.9952359112512388","548175","0.9155282458939767","677975","1.0705993790041972","0.8085475128138944"
"JP","Japan","2024","80","1360813","1.10453856877016","597805","0.998417226317597","763008","1.2048761251893279","0.7834845768327462"
"JP","Japan","2024","81","1297393","1.053062108719144","561883","0.9384225062938756","735510","1.161453666066414","0.7639365882176993"
"JP","Japan","2024","82","1270753","1.0314390734659262","542160","0.9054823620082608","728593","1.1505309389679637","0.7441191447076763"
"JP","Japan","2024","83","1167200","0.947387640674017","488396","0.8156890284701686","678804","1.071908463978119","0.7194948762824026"
"JP","Japan","2024","84","1004662","0.8154595286624736","410881","0.6862282322272323","593781","0.9376475089265699","0.6919739769376252"
"JP","Japan","2024","85","859430","0.697578272810547","336558","0.5620985185051945","522872","0.8256741598122094","0.6436718738046788"
"JP","Japan","2024","86","854737","0.6937690797008116","324063","0.5412301362687824","530674","0.8379944022326389","0.6106630436011563"
"JP","Japan","2024","87","811165","0.6584027549240395","297724","0.4972403547781973","513441","0.8107815417313236","0.5798601981532445"
"JP","Japan","2024","88","738626","0.5995246260113831","259434","0.4332907464682956","479192","0.7566984883274152","0.5413988547388103"
"JP","Japan","2024","89","642068","0.5211508633244386","215725","0.36029065689876066","426343","0.6732439264615752","0.505989309077433"
"JP","Japan","2024","90","555820","0.45114547501664853","177672","0.29673687144520383","378148","0.5971385581646509","0.4698477844653416"
"JP","Japan","2024","91","487511","0.3957007334583882","148193","0.2475028546427073","339318","0.5358215864669733","0.43673780937056095"
"JP","Japan","2024","92","414546","0.3364768307837997","119817","0.20011100075391727","294729","0.465410500939604","0.4065327809614934"
"JP","Japan","2024","93","340948","0.2767391375192981","92863","0.1550940840031967","248085","0.3917543374611988","0.3743192857286817"
"JP","Japan","2024","94","274192","0.22255492800864465","70332","0.11746419043228015","203860","0.32191804919620287","0.3450014715981556"
"JP","Japan","2024","95","219112","0.1778478416067214","52600","0.08784929216768947","166512","0.2629413234953308","0.3158931488421255"
"JP","Japan","2024","96","170117","0.13807980060704397","38005","0.06347361879910719","132112","0.208619823974339","0.28767258084049896"
"JP","Japan","2024","97","129027","0.10472805441505004","26607","0.04443737864459532","102420","0.16173279014360392","0.25978324545987114"
"JP","Japan","2024","98","94953","0.07707102351346806","17907","0.029907172525604857","77046","0.12166436779343984","0.23241959348960362"
"JP","Japan","2024","99","66079","0.05363470519885056","11308","0.018885927677418868","54771","0.08648961774023951","0.20645962279308394"
"JP","Japan","2024","100+","121368","0.09851143177974991","15539","0.025952284239424462","105829","0.1671159875815999","0.14683120883689726"
